JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration,row_num
77,36,4,2023-06-02,Homepage,Click,100,1
78,46,17,2025-06-15,Checkout,Purchase,122,1
79,75,10,2023-11-13,Homepage,View,244,1
80,64,6,2025-04-06,Homepage,Click,161,1
81,89,15,2025-10-27,Checkout,Purchase,246,1
82,64,2,2025-06-07,Homepage,Click,261,1
83,54,8,2024-01-18,ProductPage,Click,83,1
84,79,15,2025-03-09,Checkout,Purchase,48,1
85,56,4,2023-05-26,Homepage,Click,166,1
86,83,3,2023-09-06,Homepage,View,79,1
87,2,2,2023-09-25,Homepage,View,277,1
88,15,20,2025-12-18,homepage,View,136,1
89,14,9,2025-04-18,Homepage,Click,104,1
90,49,8,2025-03-25,Homepage,View,248,1
91,99,10,2023-12-07,Homepage,Click,244,1
92,88,14,2025-03-09,Homepage,View,29,1
93,43,8,2023-08-22,Checkout,Drop-off,NULL,1
94,15,18,2024-09-20,Homepage,Click,143,1
95,60,8,2024-09-14,Homepage,View,182,1
96,22,9,2024-07-28,ProductPage,View,212,1
97,92,19,2025-05-26,homepage,View,203,1
97,92,19,2025-05-26,Homepage,View,203,2
98,95,8,2025-05-25,Homepage,Click,68,1
99,58,16,2024-07-06,Checkout,Purchase,87,1
100,92,10,2024-04-06,ProductPage,View,237,1
101,24,12,2024-04-14,Homepage,Click,37,1
102,33,16,2024-04-23,Homepage,View,165,1
103,7,11,2025-12-06,Checkout,Drop-off,NULL,1
104,51,18,2023-05-03,Homepage,Click,156,1
105,68,2,2023-11-19,Homepage,View,80,1
106,90,11,2024-10-03,productpage,View,96,1
107,76,19,2023-03-15,ProductPage,View,215,1
108,14,5,2023-03-06,ProductPage,View,245,1
109,65,7,2025-08-14,Checkout,Drop-off,NULL,1
110,20,18,2023-02-07,ProductPage,View,232,1
111,72,12,2023-06-11,homepage,View,264,1
112,30,12,2025-04-16,ProductPage,View,203,1
113,79,18,2025-12-15,Checkout,Drop-off,NULL,1
114,92,10,2023-06-26,ProductPage,View,38,1
115,38,14,2024-01-07,Homepage,View,297,1
116,27,1,2024-04-29,ProductPage,View,297,1
117,46,5,2025-12-14,ProductPage,View,103,1
118,26,14,2025-04-25,ProductPage,View,71,1
119,93,20,2025-03-13,Homepage,Click,172,1
120,37,17,2024-02-29,Checkout,Purchase,180,1
121,86,5,2025-10-17,homepage,Click,33,1
122,96,19,2025-10-22,ProductPage,Click,201,1
123,59,15,2024-04-10,Homepage,View,93,1
124,10,8,2024-07-27,ProductPage,View,262,1
125,67,19,2025-06-07,Checkout,Drop-off,NULL,1
126,39,4,2025-01-14,Homepage,Click,142,1
127,5,4,2023-12-11,Homepage,View,287,1
128,34,8,2023-07-03,Homepage,Click,13,1
129,91,20,2025-07-05,Homepage,Click,283,1
130,41,13,2024-09-07,Homepage,Click,73,1
131,98,13,2025-01-09,Homepage,View,15,1
132,68,14,2023-06-17,productpage,View,56,1
133,46,20,2024-06-20,Homepage,View,74,1
134,40,9,2023-12-14,Homepage,Click,34,1
135,52,20,2025-05-03,ProductPage,Click,168,1
136,77,2,2024-05-29,Homepage,View,129,1
137,40,6,2023-02-07,ProductPage,View,85,1
138,26,18,2025-05-11,ProductPage,View,172,1
139,24,5,2025-11-13,Homepage,View,248,1
140,11,12,2024-01-26,checkout,Drop-off,NULL,1
141,57,7,2024-07-01,ProductPage,View,15,1
142,53,14,2024-05-31,Homepage,Click,10,1
143,95,17,2025-03-13,Homepage,Click,262,1
144,95,12,2025-09-17,Homepage,Click,179,1
145,60,19,2025-10-21,Homepage,Click,62,1
146,86,1,2025-12-07,Homepage,View,208,1
147,86,18,2023-04-21,Homepage,View,294,1
148,15,3,2025-10-22,ProductPage,View,185,1
149,93,7,2024-05-27,ProductPage,View,18,1
150,58,16,2024-04-20,Homepage,Click,263,1
151,79,20,2023-11-04,checkout,Purchase,298,1
151,79,20,2023-11-04,Checkout,Purchase,298,2
152,85,5,2024-07-02,Checkout,Drop-off,NULL,1
153,39,19,2025-09-19,homepage,Click,253,1
154,85,20,2023-08-04,Homepage,View,22,1
155,82,2,2023-05-12,Homepage,View,195,1
156,26,3,2024-10-18,checkout,Drop-off,NULL,1
157,96,20,2025-09-10,Homepage,View,86,1
158,17,18,2025-11-19,Homepage,Click,97,1
159,36,7,2024-03-21,ProductPage,Click,160,1
160,83,12,2025-12-20,Checkout,Purchase,240,1
161,17,19,2025-01-15,ProductPage,View,50,1
162,52,10,2024-03-30,ProductPage,View,139,1
163,49,2,2024-02-20,Homepage,View,101,1
164,90,9,2025-10-19,Homepage,Click,226,1
165,93,15,2024-09-18,Homepage,Click,169,1
166,44,13,2024-09-27,Checkout,Purchase,141,1
167,8,4,2023-02-18,ProductPage,View,133,1
168,88,17,2023-04-03,ProductPage,View,274,1
169,40,19,2023-03-03,homepage,View,255,1
170,98,13,2025-10-20,ProductPage,View,33,1
171,29,2,2023-09-09,Homepage,Click,287,1
172,33,8,2023-10-30,ProductPage,Click,212,1
173,64,5,2024-08-28,ProductPage,Click,231,1
174,62,7,2024-12-12,Homepage,Click,299,1
175,82,16,2025-10-17,Checkout,Purchase,291,1
176,80,6,2023-05-12,Checkout,Drop-off,NULL,1
177,5,17,2024-03-06,ProductPage,View,237,1
178,93,10,2023-02-03,Homepage,View,100,1
179,99,5,2025-06-02,productpage,View,187,1
180,54,17,2024-11-26,Homepage,View,110,1
181,44,20,2025-05-19,Checkout,Drop-off,NULL,1
182,33,13,2025-04-22,ProductPage,View,248,1
183,54,16,2024-08-21,ProductPage,View,129,1
184,7,11,2024-09-30,ProductPage,View,250,1
185,27,6,2023-12-29,ProductPage,View,165,1
186,25,2,2024-01-04,ProductPage,View,287,1
187,51,14,2025-09-22,Checkout,Drop-off,NULL,1
188,94,2,2025-01-27,Homepage,View,21,1
189,57,8,2023-08-20,Checkout,Drop-off,NULL,1
190,90,18,2024-02-14,Homepage,View,257,1
191,40,10,2023-07-19,homepage,Click,100,1
192,82,3,2023-03-31,Checkout,Purchase,118,1
193,88,13,2025-09-22,Homepage,Click,121,1
194,13,11,2025-04-27,Homepage,View,54,1
195,8,4,2025-08-12,Homepage,Click,16,1
196,25,8,2025-08-23,ProductPage,Click,25,1
197,29,9,2024-10-07,ProductPage,Click,295,1
198,70,8,2025-12-23,Homepage,View,275,1
199,43,11,2024-02-02,ProductPage,View,17,1
200,83,18,2024-02-24,ProductPage,View,78,1
201,75,10,2025-04-25,Checkout,Drop-off,NULL,1
202,87,12,2023-04-22,ProductPage,View,145,1
203,44,11,2024-12-28,Homepage,View,230,1
203,44,11,2024-12-28,Homepage,View,230,2
204,99,20,2025-09-01,Homepage,Click,21,1
205,41,19,2023-03-03,homepage,View,282,1
206,39,5,2023-04-21,ProductPage,View,118,1
207,46,3,2023-02-02,Homepage,Click,224,1
208,43,4,2023-12-30,ProductPage,Drop-off,NULL,1
209,36,12,2025-10-08,ProductPage,View,246,1
210,63,7,2023-09-07,Checkout,Drop-off,NULL,1
211,54,9,2024-04-19,ProductPage,View,255,1
212,99,15,2025-03-03,Homepage,View,269,1
213,54,3,2025-03-07,ProductPage,View,145,1
214,33,9,2023-01-10,productpage,View,200,1
215,71,7,2024-06-08,Checkout,Drop-off,NULL,1
216,33,6,2023-01-05,Checkout,Drop-off,NULL,1
217,82,16,2023-08-26,Homepage,View,118,1
218,19,3,2025-05-04,Homepage,View,155,1
219,15,10,2024-12-29,Homepage,Click,280,1
220,43,5,2024-07-11,ProductPage,Click,235,1
221,52,12,2025-08-19,Homepage,View,213,1
222,66,15,2024-03-02,Homepage,View,227,1
223,53,1,2024-03-07,ProductPage,View,184,1
224,84,10,2025-03-21,Checkout,Drop-off,NULL,1
225,12,10,2023-11-27,ProductPage,View,163,1
226,72,20,2023-06-03,Homepage,Click,206,1
227,7,6,2024-05-01,productpage,Click,171,1
228,40,6,2023-01-15,Homepage,Click,174,1
229,16,17,2025-01-30,ProductPage,Drop-off,NULL,1
230,78,20,2025-11-13,ProductPage,View,176,1
231,61,12,2025-07-31,Homepage,View,206,1
232,81,2,2025-06-28,Checkout,Drop-off,NULL,1
233,92,15,2023-05-11,ProductPage,View,252,1
234,54,20,2025-02-02,ProductPage,View,191,1
235,33,7,2024-01-25,ProductPage,View,109,1
236,10,11,2025-07-27,Homepage,Click,209,1
237,29,4,2023-06-26,Homepage,Click,260,1
238,93,14,2025-08-29,Homepage,View,153,1
239,60,13,2024-04-28,Checkout,Drop-off,NULL,1
240,15,9,2023-09-16,Homepage,Click,103,1
241,63,18,2024-06-17,Checkout,Purchase,101,1
242,76,3,2023-01-31,Homepage,View,23,1
243,82,9,2024-04-20,Homepage,Click,255,1
244,3,5,2025-04-24,ProductPage,Click,187,1
245,69,20,2024-04-06,ProductPage,Click,283,1
246,90,4,2024-08-10,ProductPage,Click,154,1
247,26,9,2023-10-26,Homepage,View,97,1
248,35,20,2024-02-23,Homepage,Click,46,1
249,58,7,2023-07-21,Homepage,View,133,1
250,81,13,2025-10-12,ProductPage,View,209,1
251,13,6,2023-12-10,Homepage,View,102,1
252,87,19,2023-01-13,Homepage,View,208,1
253,71,11,2023-01-07,Homepage,Click,279,1
254,12,12,2025-02-09,Homepage,Click,255,1
255,95,9,2024-09-19,ProductPage,Click,239,1
256,32,8,2025-06-04,ProductPage,Click,59,1
257,30,20,2024-10-07,productpage,Click,163,1
258,34,5,2023-11-13,Homepage,View,146,1
259,92,14,2024-10-12,Homepage,Click,16,1
260,100,17,2025-07-15,Homepage,View,265,1
261,23,5,2025-10-07,Homepage,View,239,1
262,52,16,2023-10-07,ProductPage,View,53,1
263,94,8,2024-03-09,ProductPage,View,185,1
264,3,2,2024-09-05,ProductPage,View,222,1
265,99,16,2023-03-09,Homepage,Click,235,1
266,57,9,2024-02-11,Homepage,View,185,1
267,6,7,2025-04-17,Checkout,Drop-off,NULL,1
268,67,8,2025-02-02,Homepage,View,285,1
269,9,7,2025-11-14,homepage,Click,16,1
270,66,9,2023-06-22,Checkout,Purchase,296,1
271,20,4,2025-08-19,Checkout,Drop-off,NULL,1
272,17,10,2023-08-03,checkout,Drop-off,NULL,1
273,87,1,2025-03-22,Checkout,Drop-off,NULL,1
274,95,19,2023-09-28,checkout,Drop-off,NULL,1
275,88,13,2023-11-05,Checkout,Drop-off,NULL,1
276,27,19,2023-11-22,Checkout,Drop-off,NULL,1
277,63,12,2025-10-06,ProductPage,View,300,1
278,78,8,2024-01-07,ProductPage,View,125,1
279,97,1,2025-02-25,Checkout,Drop-off,NULL,1
280,69,15,2023-09-17,Homepage,Click,223,1
281,10,4,2025-01-06,Homepage,View,236,1
282,67,12,2024-07-10,Homepage,View,256,1
283,90,14,2025-01-05,productpage,View,106,1
284,88,7,2023-09-25,Homepage,Click,278,1
285,58,4,2024-06-11,Checkout,Purchase,269,1
286,51,19,2023-08-01,Homepage,View,243,1
287,100,13,2023-01-12,Checkout,Drop-off,NULL,1
288,6,1,2023-04-11,Homepage,Click,128,1
289,90,12,2025-08-15,Checkout,Purchase,148,1
290,49,20,2023-04-13,Checkout,Drop-off,NULL,1
291,32,6,2023-11-02,homepage,Click,264,1
292,39,15,2023-06-04,ProductPage,Click,201,1
293,18,19,2023-09-08,ProductPage,Click,77,1
294,41,5,2023-07-31,Homepage,Click,121,1
295,92,19,2023-03-28,Checkout,Purchase,220,1
296,50,4,2024-10-14,Checkout,Drop-off,NULL,1
297,74,4,2024-03-04,homepage,Click,163,1
298,84,10,2024-12-19,Checkout,Purchase,80,1
299,7,9,2025-10-27,Homepage,View,195,1
300,91,16,2023-09-20,Checkout,Drop-off,NULL,1
301,84,3,2023-01-15,ProductPage,View,148,1
302,14,10,2023-08-16,Checkout,Drop-off,NULL,1
303,80,9,2024-05-24,Homepage,View,212,1
304,91,12,2023-05-06,ProductPage,View,43,1
305,74,20,2025-09-04,ProductPage,View,41,1
306,71,2,2023-07-14,Homepage,Click,179,1
307,85,11,2025-02-16,ProductPage,Click,209,1
308,80,12,2025-03-12,homepage,Click,178,1
309,38,11,2024-08-16,ProductPage,Click,176,1
310,73,18,2023-11-04,ProductPage,Click,216,1
311,33,19,2024-02-10,ProductPage,Click,67,1
312,9,11,2023-05-15,Checkout,Purchase,165,1
313,85,5,2023-10-07,ProductPage,View,140,1
314,75,11,2024-12-29,Homepage,View,297,1
315,21,6,2023-11-05,Homepage,Click,74,1
316,91,19,2025-11-12,homepage,Click,260,1
317,13,6,2023-03-22,Homepage,View,88,1
318,13,4,2025-02-01,Homepage,View,221,1
319,64,10,2025-07-17,Homepage,View,99,1
320,94,8,2025-11-29,Checkout,Drop-off,NULL,1
321,10,3,2024-11-24,Checkout,Drop-off,NULL,1
322,22,18,2024-05-25,ProductPage,View,18,1
323,44,19,2025-04-08,Homepage,View,254,1
324,77,9,2025-03-06,ProductPage,View,275,1
325,47,7,2023-01-31,Checkout,Drop-off,NULL,1
326,79,19,2024-11-30,Homepage,View,69,1
327,11,14,2024-04-29,Homepage,View,204,1
328,46,16,2024-12-22,ProductPage,View,52,1
329,88,15,2023-02-24,Homepage,Click,221,1
330,3,14,2024-04-11,Checkout,Purchase,249,1
331,2,8,2025-05-07,productpage,View,128,1
332,68,6,2025-02-26,Homepage,View,111,1
333,42,7,2024-05-15,Homepage,Click,217,1
334,43,18,2024-09-24,Homepage,Click,160,1
335,93,16,2024-09-22,ProductPage,Click,248,1
336,74,11,2025-03-08,Homepage,Click,237,1
337,71,1,2024-11-19,Homepage,Click,94,1
338,51,3,2024-06-18,ProductPage,Click,288,1
339,37,6,2024-11-07,ProductPage,Drop-off,NULL,1
340,63,20,2025-05-22,ProductPage,View,98,1
341,79,11,2025-02-12,Homepage,View,16,1
342,23,17,2024-06-19,ProductPage,View,109,1
343,50,12,2025-07-07,Checkout,Drop-off,NULL,1
344,77,1,2025-04-05,Homepage,View,14,1
345,27,6,2024-12-22,Checkout,Drop-off,NULL,1
346,68,11,2024-06-12,Homepage,Click,284,1
347,76,16,2024-06-23,ProductPage,Click,117,1
348,10,5,2025-01-27,Homepage,View,144,1
349,89,4,2023-12-15,ProductPage,View,193,1
350,99,18,2025-02-18,ProductPage,View,103,1
351,65,16,2023-06-19,Homepage,View,18,1
352,98,7,2025-09-01,ProductPage,View,165,1
353,19,10,2024-07-13,Homepage,View,60,1
354,34,3,2023-02-21,Homepage,Click,110,1
355,97,4,2025-02-18,Homepage,Click,22,1
356,65,18,2024-01-26,Homepage,View,234,1
357,11,13,2025-04-02,Homepage,View,174,1
358,62,11,2023-08-09,Homepage,Click,191,1
359,2,17,2024-03-16,Homepage,View,141,1
360,63,18,2023-08-28,Homepage,Click,270,1
361,96,9,2025-10-30,ProductPage,Drop-off,NULL,1
362,82,10,2023-05-29,Homepage,View,300,1
363,80,10,2023-04-07,ProductPage,View,123,1
364,48,16,2025-09-24,Homepage,View,30,1
365,6,5,2023-06-04,Checkout,Drop-off,NULL,1
366,37,2,2025-09-08,Checkout,Drop-off,NULL,1
367,61,18,2023-03-04,Homepage,View,272,1
368,26,10,2025-04-28,ProductPage,View,217,1
369,89,4,2023-03-22,ProductPage,View,192,1
370,15,15,2025-07-25,ProductPage,View,173,1
371,71,11,2023-09-28,ProductPage,View,227,1
372,76,16,2023-01-15,homepage,View,231,1
373,51,19,2024-04-09,Homepage,Click,219,1
374,67,13,2023-08-29,ProductPage,Click,114,1
375,23,2,2025-03-08,Checkout,Purchase,125,1
376,40,1,2025-05-23,productpage,View,216,1
377,86,10,2025-06-25,ProductPage,View,99,1
378,60,1,2023-11-02,ProductPage,View,124,1
379,92,15,2024-11-25,Checkout,Drop-off,NULL,1
380,1,11,2023-05-29,Checkout,Drop-off,NULL,1
381,2,3,2024-03-23,ProductPage,View,187,1
382,92,19,2025-06-05,ProductPage,View,260,1
383,55,6,2023-01-03,productpage,View,72,1
384,2,12,2024-09-24,Checkout,Drop-off,NULL,1
385,90,2,2025-04-15,ProductPage,View,189,1
386,37,6,2023-07-31,ProductPage,View,168,1
387,22,4,2024-12-19,Checkout,Drop-off,NULL,1
388,40,11,2024-12-02,Homepage,View,11,1
389,63,4,2023-04-14,ProductPage,View,276,1
390,74,7,2023-07-16,Checkout,Drop-off,NULL,1
391,74,13,2025-04-20,Checkout,Drop-off,NULL,1
392,50,13,2024-03-16,ProductPage,View,50,1
393,14,5,2024-05-26,ProductPage,View,120,1
394,39,5,2025-04-16,ProductPage,View,143,1
395,73,10,2025-08-19,Homepage,View,59,1
396,62,9,2023-03-14,ProductPage,View,238,1
397,54,15,2023-03-17,Homepage,Click,239,1
398,86,17,2025-03-04,Homepage,View,290,1
399,26,2,2025-08-03,ProductPage,View,108,1
400,28,12,2024-05-30,Homepage,View,45,1
401,86,20,2025-04-04,ProductPage,View,203,1
402,42,4,2024-11-24,Homepage,View,278,1
403,47,2,2023-03-21,ProductPage,View,112,1
404,30,13,2023-04-22,Homepage,View,112,1
404,30,13,2023-04-22,Homepage,View,112,2
405,97,7,2024-08-21,ProductPage,View,40,1
406,27,7,2025-05-09,ProductPage,View,107,1
407,79,6,2024-02-26,Homepage,Click,35,1
408,36,15,2024-01-31,Homepage,Click,182,1
409,90,17,2025-06-28,Homepage,Click,44,1
410,71,12,2023-09-13,Homepage,View,38,1
411,74,19,2023-02-08,Homepage,Click,231,1
412,3,20,2025-08-08,ProductPage,Click,74,1
413,29,5,2023-07-09,ProductPage,Click,235,1
414,24,15,2025-05-06,ProductPage,Drop-off,NULL,1
415,56,2,2023-10-26,Homepage,View,35,1
416,34,6,2025-09-24,ProductPage,View,151,1
417,50,12,2024-02-04,Homepage,View,205,1
418,97,8,2024-05-04,Checkout,Drop-off,NULL,1
419,52,7,2023-11-06,Checkout,Drop-off,NULL,1
420,25,16,2023-09-04,Homepage,Click,204,1
421,25,2,2023-10-22,ProductPage,Click,269,1
422,87,6,2024-10-04,Homepage,View,263,1
423,26,15,2023-06-12,Homepage,Click,121,1
424,94,10,2023-08-14,Checkout,Purchase,164,1
425,60,16,2024-11-21,Homepage,Click,287,1
426,60,20,2025-02-26,ProductPage,Click,158,1
427,98,2,2023-02-08,Homepage,View,262,1
428,48,12,2025-12-04,Homepage,View,242,1
429,100,15,2023-04-02,homepage,Click,97,1
430,7,20,2025-01-19,ProductPage,Click,63,1
431,66,12,2025-08-30,ProductPage,Click,229,1
432,73,3,2023-08-22,ProductPage,Click,27,1
433,20,18,2025-11-27,ProductPage,Click,205,1
434,46,4,2023-09-29,Homepage,View,94,1
435,45,8,2024-12-20,ProductPage,View,134,1
436,91,20,2024-05-15,ProductPage,View,206,1
437,43,14,2025-06-08,Homepage,Click,164,1
438,73,10,2024-11-10,Homepage,Click,45,1
439,87,12,2024-02-29,Homepage,View,252,1
440,2,7,2025-10-12,ProductPage,View,187,1
441,3,5,2023-05-23,ProductPage,View,51,1
442,74,13,2023-10-25,Homepage,View,164,1
443,98,5,2023-09-04,Checkout,Drop-off,NULL,1
443,98,5,2023-09-04,Checkout,Drop-off,NULL,2
444,76,18,2025-01-27,Homepage,Click,220,1
445,4,3,2025-05-09,ProductPage,Click,235,1
446,92,13,2024-04-04,Homepage,Click,108,1
447,64,11,2024-01-15,Checkout,Purchase,65,1
448,27,4,2023-09-30,ProductPage,View,279,1
449,15,8,2025-04-10,ProductPage,View,83,1
450,68,16,2023-11-02,ProductPage,View,20,1
451,17,14,2025-11-27,Homepage,View,142,1
452,86,4,2024-10-07,Checkout,Drop-off,NULL,1
453,49,17,2023-02-13,Homepage,View,188,1
454,93,3,2023-06-01,Homepage,View,268,1
455,79,10,2025-04-13,ProductPage,View,126,1
456,93,20,2023-09-09,Checkout,Drop-off,NULL,1
457,33,19,2023-09-29,Homepage,Click,71,1
458,94,2,2025-01-20,Checkout,Purchase,192,1
459,58,7,2024-10-12,Homepage,View,159,1
460,45,3,2023-02-17,Homepage,Click,96,1
461,19,5,2024-09-05,Checkout,Purchase,176,1
462,59,6,2025-04-14,ProductPage,View,199,1
463,32,17,2023-02-03,ProductPage,View,185,1
464,32,1,2023-10-10,ProductPage,View,153,1
465,27,1,2025-08-26,ProductPage,View,228,1
466,35,20,2025-07-29,ProductPage,View,200,1
467,32,3,2025-10-14,ProductPage,View,37,1
468,3,19,2025-06-25,Homepage,View,215,1
469,18,16,2025-11-27,ProductPage,View,33,1
470,76,16,2024-01-23,Homepage,Click,28,1
471,14,16,2024-02-01,ProductPage,Click,10,1
472,28,14,2025-03-09,ProductPage,Click,94,1
473,76,2,2025-03-21,ProductPage,Click,168,1
474,59,3,2023-03-24,ProductPage,Click,72,1
475,91,6,2025-02-13,Homepage,Click,90,1
476,80,4,2024-08-22,Homepage,Click,41,1
477,94,11,2025-04-10,ProductPage,Click,56,1
478,80,7,2025-08-27,productpage,Click,225,1
479,63,17,2023-01-17,ProductPage,Click,296,1
480,30,12,2025-10-23,Homepage,Click,29,1
481,43,7,2025-06-17,ProductPage,Click,261,1
482,72,4,2025-12-14,ProductPage,Click,126,1
483,86,17,2024-10-02,Homepage,View,153,1
484,98,7,2023-08-30,Homepage,Click,222,1
485,100,4,2023-03-05,ProductPage,Click,101,1
486,91,16,2023-06-17,Homepage,View,226,1
487,35,19,2023-05-07,Checkout,Drop-off,NULL,1
488,72,16,2023-08-21,Checkout,Drop-off,NULL,1
489,57,16,2024-03-23,Homepage,View,266,1
490,53,13,2025-03-28,ProductPage,View,108,1
491,77,19,2023-05-14,Checkout,Drop-off,NULL,1
492,69,20,2025-05-16,productpage,View,186,1
493,32,7,2024-04-23,Checkout,Drop-off,NULL,1
494,29,6,2024-10-27,Checkout,Drop-off,NULL,1
494,29,6,2024-10-27,Checkout,Drop-off,NULL,2
495,43,2,2023-02-04,Checkout,Drop-off,NULL,1
496,76,20,2024-12-08,homepage,Click,66,1
497,55,15,2024-05-18,Homepage,View,83,1
498,33,20,2024-09-21,Checkout,Drop-off,NULL,1
499,95,18,2024-01-24,ProductPage,View,112,1
500,29,8,2025-07-31,Homepage,Click,277,1
501,57,17,2023-10-19,Homepage,View,14,1
502,10,3,2023-08-19,ProductPage,View,134,1
503,35,9,2023-02-18,homepage,Click,239,1
504,4,13,2025-02-08,Homepage,Click,281,1
505,15,11,2023-02-16,Homepage,Click,167,1
506,100,17,2023-08-20,Homepage,View,69,1
507,90,17,2025-01-02,ProductPage,View,259,1
508,48,15,2024-09-13,ProductPage,View,64,1
509,42,16,2025-11-27,ProductPage,View,53,1
510,14,14,2023-12-21,Checkout,Drop-off,NULL,1
511,65,3,2025-05-23,ProductPage,View,40,1
512,67,11,2025-11-04,Homepage,Click,229,1
513,91,17,2024-04-18,ProductPage,Click,195,1
514,24,3,2024-06-18,productpage,Click,38,1
515,49,3,2025-05-23,Homepage,View,231,1
516,14,15,2023-09-26,Checkout,Drop-off,NULL,1
517,55,10,2025-01-07,Homepage,View,19,1
518,89,12,2023-07-09,Homepage,View,56,1
519,99,1,2024-03-14,ProductPage,View,206,1
520,42,16,2025-07-13,Checkout,Drop-off,NULL,1
520,42,16,2025-07-13,Checkout,Drop-off,NULL,2
521,12,13,2024-03-25,Checkout,Drop-off,NULL,1
522,78,19,2023-06-15,Homepage,View,101,1
523,85,2,2025-10-08,Homepage,Click,240,1
524,34,13,2023-04-12,Homepage,View,65,1
525,34,10,2023-07-24,ProductPage,View,61,1
526,87,9,2025-05-17,Checkout,Drop-off,NULL,1
527,66,14,2025-06-20,ProductPage,View,33,1
528,38,6,2024-11-19,ProductPage,View,156,1
529,83,14,2025-09-20,ProductPage,View,173,1
530,76,8,2023-03-06,Homepage,View,159,1
531,20,3,2025-05-22,Homepage,Click,264,1
532,98,12,2023-06-11,ProductPage,Click,278,1
533,33,11,2023-01-29,Checkout,Purchase,84,1
534,59,7,2025-01-16,Homepage,Click,224,1
535,4,7,2025-03-31,Homepage,View,135,1
